water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""р.Олекма - с.Куду-Кюель""","""3Б Очень загрязненная""",Медь
"""р.Олекма - с.Куду-Кюель""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Олекма - с.Куду-Кюель""","""3Б Очень загрязненная""",БПК5
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",NH4
"""р.Олекма - с.Куду-Кюель""","""3Б Очень загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",NO3
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",БПК5
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",SO4
"""р.Олекма - с.Куду-Кюель""","""3Б Очень загрязненная""",NH4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",NO2
"""р.Лена - г.Якутск""","""3А Загрязненная""",Хлоpиды
"""р.Лена - г.Якутск""","""3А Загрязненная""",Медь
"""р.Лена - г.Якутск""","""3А Загрязненная""","""Железо общ."""
"""р.Лена - с.Табага""","""3Б Очень загрязненная""",SO4
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",SO4
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Медь
"""р.Лена - с.Кюсюр""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Лена - с.Кюсюр""","""3Б Очень загрязненная""",Медь
"""р.Лена - с.Кюсюр""","""3Б Очень загрязненная""",Маpганец
"""р.Лена - с.Кюсюр""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Енисей - г.Дивногорск""","""3А Загрязненная""",Маpганец
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",Хлоpиды
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.СЕЛЕНГА, С.МУРЗИНО 0,4КМ НИЖЕ СЕЛА МУРЗИНО""","""3Б Очень загрязненная""",Цинк
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",БПК5
"""р.Нижняя Тунгуска - факт.Большой Порог""","""3А Загрязненная""",БПК5
"""р.Нижняя Тунгуска - факт.Большой Порог""","""3А Загрязненная""",Медь
"""р.Вилюй - г.Вилюйск""","""3Б Очень загрязненная""",SO4
"""р.Енисей - г.Кызыл""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ЕНИСЕЙ - КРАСНОЯРСКАЯ ГЭС""","""3А Загрязненная""",Медь
"""р.Селенга - с.Кабанск""","""3А Загрязненная""",Хлоpиды
"""Р.СЕЛЕНГА, С.МУРЗИНО 0,4КМ НИЖЕ СЕЛА МУРЗИНО""","""3Б Очень загрязненная""","""Железо общ."""
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Фенолы летуч."""
"""р.Лена - г.Якутск""","""3А Загрязненная""","""Окисл. Бихp."""
"""р.Олекма - с.Куду-Кюель""","""3Б Очень загрязненная""",NO3
"""р.Лена - с.Табага""","""3Б Очень загрязненная""",NO3
"""р.Лена - с.Табага""","""3Б Очень загрязненная""",Медь
"""р.Лена - с.Табага""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""БАССЕЙН ЕНИСЕЯ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""",NO3
"""БАССЕЙН ЕНИСЕЯ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""","""Сульф. и Н2S"""
"""БАССЕЙН ЕНИСЕЯ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""","""Окисл. Бихp."""
"""БАССЕЙН ЕНИСЕЯ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""",Кадмий
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO3
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",БПК5
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NH4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Нефтепpод.
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",SO4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Железо общ."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Медь
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4Б Грязная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Фенолы летуч."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Кислоpод
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Нефтепpод.
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""",SO4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Фенолы летуч."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Цинк
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NH4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Маpганец
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Нефтепpод.
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Никель
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4Б Грязная""",NO3
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Маpганец
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4Б Грязная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Железо общ."""
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""","""Окисл. Бихp."""
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",Нефтепpод.
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",Медь
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",Кислоpод
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""","""Железо общ."""
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",SO4
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",NO3
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",NO2
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Железо общ."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",SO4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Цинк
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Медь
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Маpганец
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Цинк
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",NH4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO2
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Медь
"""р.Витим - г.Бодайбо""",,"""Фенолы летуч."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""","""Окисл. Бихp."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Цинк
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Железо общ."""
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NH4
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",Хлоpиды
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",БПК5
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",NO3
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Медь
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",NH4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",SO4
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Кислоpод
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Медь
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3Б Очень загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",NH4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",SO4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Хлоpиды
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",SO4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Кислоpод
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Хлоpиды
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",SO4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Хлоpиды
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Кислоpод
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",Цинк
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",БПК5
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Нефтепpод.
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NO3
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Кислоpод
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Медь
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Цинк
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NH4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",БПК5
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Нефтепpод.
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Pтуть
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",Нефтепpод.
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""4А Грязная""",Хлоpиды
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Кислоpод
"""Р.ШИЛКА, Г.ШИЛКА 2 КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Индигирка - р.п.Чокурдах""","""3А Загрязненная""",БПК5
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",NO2
"""р.Авача - г.Елизово""","""3А Загрязненная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO3
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Кислоpод
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Хлоpиды
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Медь
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Медь
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Маpганец
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Маpганец
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Хлоpиды
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Железо общ."""
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Сумма ионов"""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",Хлоpиды
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Никель
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Хлоpиды
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""",Цинк
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Маpганец
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Кислоpод
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Железо общ."""
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""",NH4
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",БПК5
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Pтуть
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NO3
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NH4
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""","""Окисл. Бихp."""
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",Медь
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",Маpганец
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",Кислоpод
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""","""Железо общ."""
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",SO4
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",NH4
"""Р.САЛ, УСТЬЕ 19КМ ВЫШЕ УСТЬЯ""","""4А Грязная""",NH4
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",NO2
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO3
"""р.Иртыш - г.Омск""","""3А Загрязненная""",Никель
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Железо общ."""
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Медь
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Нефтепpод.
"""БАССЕЙН ЛЕНЫ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Окисл. Бихp."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NH4
"""р.Лена - с.Кюсюр""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Pтуть
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NH4
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Нефтепpод.
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""","""Фенолы летуч."""
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NO2
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Хлоpиды
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Маpганец
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",БПК5
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",SO4
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Pтуть
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO2
"""р.Камчатка - с.Пущино""","""2 Слабо загрязненная""",БПК5
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Фенолы летуч."""
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Окисл. Бихp."""
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Свинец
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Маpганец
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Кислоpод
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""","""Железо общ."""
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",NO3
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",SO4
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""",Нефтепpод.
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""",Маpганец
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""",NO3
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",Нефтепpод.
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",Хлоpиды
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""","""Железо общ."""
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",SO4
"""р.Паужетка(главное русло) - пос.Паужетка""","""3А Загрязненная""",NH4
"""р.Авача - г.Елизово""","""3А Загрязненная""",Нефтепpод.
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Pтуть
"""р.Камчатка - с.Пущино""","""2 Слабо загрязненная""",Цинк
"""р.Камчатка - с.Пущино""","""2 Слабо загрязненная""","""Окисл. Бихp."""
"""р.Камчатка - с.Пущино""","""2 Слабо загрязненная""","""Железо общ."""
"""р.Камчатка - с.Пущино""","""2 Слабо загрязненная""",NH4
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",NH4
"""Р.ШИЛКА, Г.ШИЛКА 3 КМ ЮЖНЕЕ ГОРОДА""","""3Б Очень загрязненная""",Кислоpод
"""р.Тауй - с.Талон""","""4А Грязная""","""Железо общ."""
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",Цинк
"""р.Зея - г.Благовещенск""","""3Б Очень загрязненная""",NH4
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",Хлоpиды
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""","""Фенолы летуч."""
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",Свинец
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""","""Окисл. Бихp."""
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",Нефтепpод.
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",Медь
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",Кислоpод
"""РЕКИ П—ВА КАМЧАТКА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная""",Кадмий
